time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb
1900-01-01 00:00:00,7255.0,14392,7255.5,474703,21024,88248,-67224,-460311
1900-01-01 00:00:15,7251.0,412077,7251.5,665739,85790,229249,-143459,-253662
1900-01-01 00:00:30,7246.0,640,7246.5,684735,37898,794202,-756304,-684095
1900-01-01 00:00:45,7263.5,51137,7264.0,13058,354615,229044,125571,38079
1900-01-01 00:01:00,7262.5,78802,7263.0,1006739,316269,164057,152212,-927937
1900-01-01 00:01:15,7269.0,684600,7269.5,101442,493646,172823,320823,583158
1900-01-01 00:01:30,7270.5,665569,7271.0,5503,430802,25828,404974,660066
1900-01-01 00:01:45,7274.0,339577,7274.5,276033,109152,56347,52805,63544
1900-01-01 00:02:00,7275.5,748348,7276.0,89226,318704,19144,299560,659122
1900-01-01 00:02:15,7275.5,480707,7276.0,194925,90511,11082,79429,285782
1900-01-01 00:02:30,7276.0,1015808,7276.5,88547,41275,10215,31060,927261
1900-01-01 00:02:45,7276.0,1095482,7276.5,31543,55822,56168,-346,1063939
1900-01-01 00:03:00,7278.5,668,7279.0,423391,137767,164524,-26757,-422723
1900-01-01 00:03:15,7274.0,1012499,7274.5,12252,75421,90342,-14921,1000247
1900-01-01 00:03:30,7279.5,4991,7280.0,594921,171237,36173,135064,-589930
1900-01-01 00:03:45,7279.0,115588,7279.5,615827,92004,340038,-248034,-500239
1900-01-01 00:04:00,7279.0,1107509,7279.5,84560,74047,23891,50156,1022949
1900-01-01 00:04:15,7292.5,122350,7293.0,73010,295043,17316,277727,49340
1900-01-01 00:04:30,7288.0,31339,7288.5,120921,457234,363762,93472,-89582
1900-01-01 00:04:45,7283.5,883989,7284.0,731337,264508,66045,198463,152652
1900-01-01 00:05:00,7283.5,145386,7284.0,881753,34829,56669,-21840,-736367
1900-01-01 00:05:15,7282.5,178489,7283.0,692035,60604,33232,27372,-513546
1900-01-01 00:05:30,7280.0,122146,7280.5,882976,4460,257493,-253033,-760830
1900-01-01 00:05:45,7278.0,292729,7278.5,160147,89475,69428,20047,132582
1900-01-01 00:06:00,7278.0,193899,7278.5,411432,40131,13451,26680,-217533
1900-01-01 00:06:15,7278.0,309408,7278.5,318694,51783,2468,49315,-9286
1900-01-01 00:06:30,7278.0,128662,7278.5,965499,9567,100,9467,-836837
1900-01-01 00:06:45,7277.0,398122,7277.5,943545,11090,30826,-19736,-545423
1900-01-01 00:07:00,7277.0,358665,7277.5,336491,3882,91359,-87477,22174
1900-01-01 00:07:15,7278.5,157165,7279.0,36811,69746,19001,50745,120354
1900-01-01 00:07:30,7284.5,575416,7285.0,38254,66592,40508,26084,537162
1900-01-01 00:07:45,7284.5,181375,7285.0,490411,17273,22230,-4957,-309036
1900-01-01 00:08:00,7284.5,868803,7285.0,223744,53194,30968,22226,645059
1900-01-01 00:08:15,7285.5,462353,7286.0,10,44820,1000,43820,462343
1900-01-01 00:08:30,7291.0,153342,7291.5,726831,172061,78230,93831,-573489
1900-01-01 00:08:45,7285.0,30062,7285.5,264269,61399,211106,-149707,-234207
1900-01-01 00:09:00,7285.0,187521,7285.5,413397,17557,51187,-33630,-225876
1900-01-01 00:09:15,7286.5,529501,7287.0,14067,84880,2332,82548,515434
1900-01-01 00:09:30,7290.0,705969,7290.5,203,67160,91610,-24450,705766
1900-01-01 00:09:45,7293.5,460409,7294.0,96804,107676,29716,77960,363605
1900-01-01 00:10:00,7296.5,434826,7297.0,63788,231187,67011,164176,371038
1900-01-01 00:10:15,7296.5,31120,7297.0,397569,226008,149711,76297,-366449
1900-01-01 00:10:30,7291.0,468669,7291.5,58891,11124,21314,-10190,409778
