time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb,spread
1900-01-25 00:00:00,7877.5,578830,7878.5,7614,41693,1634,40059,571216,1.0
1900-01-25 00:00:15,7881.0,628416,7881.5,15263,149762,17483,132279,613153,0.5
1900-01-25 00:00:30,7883.5,380157,7884.0,521835,146071,42623,103448,-141678,0.5
1900-01-25 00:00:45,7881.0,509490,7881.5,673364,115127,90013,25114,-163874,0.5
1900-01-25 00:01:00,7880.5,241592,7881.0,562990,17192,69442,-52250,-321398,0.5
1900-01-25 00:01:15,7880.5,74967,7881.0,1200991,77808,22637,55171,-1126024,0.5
1900-01-25 00:01:30,7879.0,1621,7879.5,30806,21835,69573,-47738,-29185,0.5
1900-01-25 00:01:45,7877.0,211098,7877.5,408965,2376,64498,-62122,-197867,0.5
1900-01-25 00:02:00,7877.0,158603,7877.5,626268,17589,46129,-28540,-467665,0.5
1900-01-25 00:02:15,7877.0,105770,7877.5,1094537,7370,36182,-28812,-988767,0.5
1900-01-25 00:02:30,7871.0,143216,7871.5,665548,19468,65989,-46521,-522332,0.5
1900-01-25 00:02:45,7870.0,317951,7870.5,367920,13911,110554,-96643,-49969,0.5
1900-01-25 00:03:00,7870.0,197650,7870.5,1131801,1555,129185,-127630,-934151,0.5
1900-01-25 00:03:15,7870.0,692284,7870.5,180351,482387,48254,434133,511933,0.5
1900-01-25 00:03:30,7872.5,541311,7873.0,1099724,151389,34353,117036,-558413,0.5
1900-01-25 00:03:45,7872.5,467029,7873.0,1055384,41758,55335,-13577,-588355,0.5
1900-01-25 00:04:00,7868.0,30159,7868.5,1057184,6806,91331,-84525,-1027025,0.5
1900-01-25 00:04:15,7861.0,53982,7861.5,96425,4101,159496,-155395,-42443,0.5
1900-01-25 00:04:30,7857.5,264188,7858.0,937042,18127,619864,-601737,-672854,0.5
1900-01-25 00:04:45,7861.5,172395,7862.0,1011252,143220,246282,-103062,-838857,0.5
1900-01-25 00:05:00,7861.5,742829,7862.0,626812,45019,67126,-22107,116017,0.5
1900-01-25 00:05:15,7861.5,288325,7862.0,1536698,60670,147598,-86928,-1248373,0.5
1900-01-25 00:05:30,7857.5,18018,7858.0,299046,189998,216466,-26468,-281028,0.5
1900-01-25 00:05:45,7852.5,234244,7853.0,1088583,3633,723386,-719753,-854339,0.5
1900-01-25 00:06:00,7839.0,2,7839.5,1736750,79527,1549680,-1470153,-1736748,0.5
1900-01-25 00:06:15,7837.0,130957,7837.5,294502,501355,597266,-95911,-163545,0.5
1900-01-25 00:06:30,7832.5,257029,7833.0,403323,473720,472247,1473,-146294,0.5
1900-01-25 00:06:45,7859.5,122985,7860.0,843171,902054,79520,822534,-720186,0.5
1900-01-25 00:07:00,7849.0,676344,7849.5,383413,73610,110683,-37073,292931,0.5
1900-01-25 00:07:15,7849.0,471978,7849.5,545442,342015,120090,221925,-73464,0.5
1900-01-25 00:07:30,7849.5,1323484,7850.0,1084573,743738,49427,694311,238911,0.5
1900-01-25 00:07:45,7853.5,19997,7854.0,438341,812338,107114,705224,-418344,0.5
1900-01-25 00:08:00,7853.5,1241222,7854.0,238629,42949,38614,4335,1002593,0.5
1900-01-25 00:08:15,7856.5,1029476,7857.0,47906,308778,3349,305429,981570,0.5
1900-01-25 00:08:30,7859.5,864768,7860.0,311477,303623,18053,285570,553291,0.5
1900-01-25 00:08:45,7861.5,1081988,7862.0,24669,74614,44687,29927,1057319,0.5
1900-01-25 00:09:00,7863.0,628406,7863.5,427016,76380,4000,72380,201390,0.5
1900-01-25 00:09:15,7863.0,182356,7863.5,935814,137354,234398,-97044,-753458,0.5
1900-01-25 00:09:30,7859.5,462067,7860.0,585929,54882,88539,-33657,-123862,0.5
1900-01-25 00:09:45,7859.5,46917,7860.0,1104783,15381,54261,-38880,-1057866,0.5
1900-01-25 00:10:00,7859.5,155892,7860.0,1337278,10948,141048,-130100,-1181386,0.5
1900-01-25 00:10:15,7857.0,148549,7857.5,1280666,12368,129296,-116928,-1132117,0.5
